rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
163,Sun Yat-sen University,China,8,-,538,-,109,79.6,sysu.edu.cn
164,University of Padova,Italy,2,453,1501,-,108,79.6,unipd.it
165,Yonsei University,South Korea,2,-,112,-,147,79.6,yonsei.ac.kr
166,University of Hong Kong,China,9,-,176,-,137,79.5,hku.hk
167,University of Hamburg,Germany,11,278,465,-,116,79.5,uni-hamburg.de
168,University of Montpellier,France,11,450,1123,-,110,79.5,umontpellier.fr
169,University of Gothenburg,Sweden,6,402,409,146,174,79.5,gu.se
170,Nanjing University,China,10,493,428,-,115,79.4,nju.edu.cn
171,Icahn School of Medicine at Mount Sinai,USA,64,-,-,-,112,79.4,mssm.edu
172,Huazhong University of Science and Technology,China,11,-,205,-,136,79.4,hust.edu.cn
173,Iowa State University,USA,65,346,194,156,198,79.4,iastate.edu
174,Korea University,South Korea,3,-,89,-,181,79.3,korea.ac.kr
175,University of Warwick,United Kingdom,18,427,193,220,166,79.3,warwick.ac.uk
176,Waseda University,Japan,8,353,23,-,461,79.3,waseda.jp
177,Newcastle University,United Kingdom,19,465,518,160,176,79.3,ncl.ac.uk
178,Norwegian University of Science and Technology,Norway,2,249,429,57,267,79.2,ntnu.no
179,University of Milan,Italy,3,446,569,-,126,79.2,unimi.it
180,University of Kansas,USA,66,261,390,97,224,79.2,ku.edu
181,University of Lausanne,Switzerland,7,232,761,116,204,79.2,unil.ch
182,University of Bologna,Italy,4,-,728,-,129,79.1,unibo.it
183,Arizona State University,USA,67,419,650,257,141,79.1,asu.edu
184,University of Alabama at Birmingham,USA,68,-,899,231,151,79.1,uab.edu
185,Western University,Canada,7,412,87,-,195,79.1,uwo.ca
186,Brandeis University,USA,69,29,233,39,588,79,brandeis.edu
187,Wageningen University & Research,Netherlands,8,414,860,206,160,79,wur.nl
188,University of Calgary,Canada,8,-,232,-,143,79,ucalgary.ca
189,Université catholique de Louvain,Belgium,3,-,517,127,206,79,uclouvain.be
190,North Carolina State University,USA,70,382,411,182,187,78.9,ncsu.edu
191,Chinese University of Hong Kong,China,12,406,1230,242,155,78.9,cuhk.edu.hk
192,University of Münster,Germany,12,429,768,190,178,78.9,uni-muenster.de
193,Lomonosov Moscow State University,Russia,1,95,342,192,223,78.9,msu.ru
194,University of Cologne,Germany,13,510,267,204,191,78.8,uni-koeln.de
195,Sungkyunkwan University,South Korea,4,-,237,-,157,78.8,skku.edu
196,Autonomous University of Barcelona,Spain,2,-,-,-,140,78.8,uab.cat
197,Yeshiva University,USA,71,86,-,178,230,78.8,yu.edu
198,Stony Brook University,USA,72,386,-,169,194,78.7,stonybrook.edu
199,University of Waterloo,Canada,9,-,221,200,203,78.7,uwaterloo.ca
200,Technical University of Denmark,Denmark,3,368,701,187,188,78.7,dtu.dk
201,University of Georgia,USA,73,392,325,173,212,78.7,uga.edu
202,University of Würzburg,Germany,14,151,985,228,193,78.6,uni-wuerzburg.de
203,University of Ottawa,Canada,10,-,461,-,156,78.6,uottawa.ca
204,Johannes Gutenberg University Mainz,Germany,15,-,-,180,196,78.6,uni-mainz.de
205,HEC Paris,France,12,-,5,-,1986,78.6,hec.edu
206,University of Lisbon,Portugal,1,432,1142,234,173,78.6,ulisboa.pt
207,University of Missouri–Columbia,USA,74,423,259,86,286,78.5,missouri.edu
208,Kiel University,Germany,16,343,961,139,228,78.5,uni-kiel.de
209,University of Vienna,Austria,1,159,479,155,244,78.5,univie.ac.at
210,University of Illinois at Chicago,USA,75,476,809,269,159,78.5,uic.edu
211,Université libre de Bruxelles,Belgium,4,435,289,168,234,78.4,ulb.ac.be
212,University of Reading,United Kingdom,20,105,102,101,374,78.4,reading.ac.uk
213,Trinity College Dublin,Ireland,1,201,85,238,283,78.4,tcd.ie
214,Georgetown University,USA,76,334,54,-,313,78.4,georgetown.edu
215,University of Miami,USA,77,-,248,-,172,78.4,miami.edu
216,Hokkaido University,Japan,9,347,298,161,245,78.3,hokudai.ac.jp
217,TU Dresden,Germany,17,-,-,-,158,78.3,tu-dresden.de
